year,id,regional_unit,pre_county_id,post_county_id,reform_type,population,pre_name,post_name
1969,05/1969/0086,Gemeinde,05941,05840,1,95,Bentrop,Wickede (Ruhr)
1969,05/1969/0113,Gemeinde,05837,05838,1,878,Schliprüthen,Finnentrop
1969,05/1969/0113,Gemeinde,05837,05838,1,11248,Schönholthausen,Finnentrop
1969,05/1969/0113,Gemeinde,05837,05838,1,204,Oedingen,Finnentrop
1969,05/1969/0113,Gemeinde,05837,05838,1,1262,Oedingen,"Lennestadt, Stadt"
1969,05/1969/0121,Gemeinde,05332,05311,1,65119,"Godesberg, Bad, Stadt","Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05311,1,657,Buschdorf,"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05311,1,10215,Duisdorf,"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05311,1,3515,Ippendorf,"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05311,1,3990,Lengsdorf,"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05311,1,1522,Lessenich,"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05311,1,2192,Röttgen,"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05311,1,31550,"Beuel, Stadt","Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,286,"Beuel, Stadt",Sankt Augustin
1969,05/1969/0121,Gemeinde,05337,05311,1,5593,Oberkassel (Siegkreis),"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05337,05311,1,2282,Holzlar,"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05337,05311,1,389,Stieldorf,"Bonn, Stadt"
1969,05/1969/0121,Gemeinde,05332,05337,1,846,Gielsdorf,Alfter
1969,05/1969/0121,Gemeinde,05332,05337,1,674,Impekoven,Alfter
1969,05/1969/0121,Gemeinde,05332,05337,1,1550,Oedekoven,Alfter
1969,05/1969/0121,Gemeinde,05332,05337,1,3591,Witterschlick,Alfter
1969,05/1969/0121,Gemeinde,05332,05337,1,9163,Sechtem,Bornheim
1969,05/1969/0121,Gemeinde,05332,05337,1,4725,Hersel,Bornheim
1969,05/1969/0121,Gemeinde,05332,05334,1,2024,Hersel,Wesseling
